Country or Area,M49 code,ISO-alpha3 code,Latitude,Longitude
Afghanistan,4,AFG,33.0,65.0
Åland Islands,248,ALA,60.116667,19.9
Albania,8,ALB,41.0,20.0
Algeria,12,DZA,28.0,3.0
American Samoa,16,ASM,-14.3333,-170.0
Andorra,20,AND,42.5,1.6
Angola,24,AGO,-12.5,18.5
Anguilla,660,AIA,18.25,-63.1667
Antarctica,10,ATA,-90.0,0.0
Antigua and Barbuda,28,ATG,17.05,-61.8
Argentina,32,ARG,-34.0,-64.0
Armenia,51,ARM,40.0,45.0
Aruba,533,ABW,12.5,-69.9667
Australia,36,AUS,-27.0,133.0
Austria,40,AUT,47.3333,13.3333
Azerbaijan,31,AZE,40.5,47.5
Bahamas,44,BHS,24.25,-76.0
Bahrain,48,BHR,26.0,50.55
Bangladesh,50,BGD,24.0,90.0
Barbados,52,BRB,13.1667,-59.5333
Belarus,112,BLR,53.0,28.0
Belgium,56,BEL,50.8333,4.0
Belize,84,BLZ,17.25,-88.75
Benin,204,BEN,9.5,2.25
Bermuda,60,BMU,32.3333,-64.75
Bhutan,64,BTN,27.5,90.5
Bolivia,68,BOL,-17.0,-65.0
Bolivia,68,BOL,-17.0,-65.0
Bonaire Sint Eustatius and Saba,535,BES,12.183333,-68.233333
Bosnia and Herzegovina,70,BIH,44.0,18.0
Botswana,72,BWA,-22.0,24.0
Bouvet Island,74,BVT,-54.4333,3.4
Brazil,76,BRA,-10.0,-55.0
British Indian Ocean Territory,86,IOT,-6.0,71.5
British Virgin Islands,92,VGB,18.5,-64.5
Brunei Darussalam,96,BRN,4.5,114.6667
Bulgaria,100,BGR,43.0,25.0
Burkina Faso,854,BFA,13.0,-2.0
Burundi,108,BDI,-3.5,30.0
Cabo Verde,132,CPV,16.0,-24.0
Cambodia,116,KHM,13.0,105.0
Cameroon,120,CMR,6.0,12.0
Canada,124,CAN,60.0,-95.0
Cayman Islands,136,CYM,19.5,-80.5
Central African Republic,140,CAF,7.0,21.0
Chad,148,TCD,15.0,19.0
Chile,152,CHL,-30.0,-71.0
China,156,CHN,35.0,105.0
China Hong Kong Special Administrative Region,344,HKG,22.25,114.1667
China Macao Special Administrative Region,446,MAC,22.1667,113.55
Christmas Island,162,CXR,-10.5,105.6667
Cocos (Keeling) Islands,166,CCK,-12.5,96.8333
Colombia,170,COL,4.0,-72.0
Comoros,174,COM,-12.1667,44.25
Congo,178,COG,-1.0,15.0
Cook Islands,184,COK,-21.2333,-159.7667
Costa Rica,188,CRI,10.0,-84.0
Côte d'Ivoire,384,CIV,8.0,-5.0
Croatia,191,HRV,45.1667,15.5
Cuba,192,CUB,21.5,-80.0
Curaçao,531,CUW,12.166667,-68.966667
Cyprus,196,CYP,35.0,33.0
Czechia,203,CZE,49.75,15.5
Democratic People's Republic of Korea,408,PRK,40.0,127.0
Democratic Republic of the Congo,180,COD,0.0,25.0
Denmark,208,DNK,56.0,10.0
Djibouti,262,DJI,11.5,43.0
Dominica,212,DMA,15.4167,-61.3333
Dominican Republic,214,DOM,19.0,-70.6667
Ecuador,218,ECU,-2.0,-77.5
Egypt,818,EGY,27.0,30.0
El Salvador,222,SLV,13.8333,-88.9167
Equatorial Guinea,226,GNQ,2.0,10.0
Eritrea,232,ERI,15.0,39.0
Estonia,233,EST,59.0,26.0
Eswatini,748,SWZ,-26.5,31.5
Ethiopia,231,ETH,8.0,38.0
Falkland Islands,238,FLK,-51.75,-59.0
Faroe Islands,234,FRO,62.0,-7.0
Fiji,242,FJI,-18.0,175.0
Finland,246,FIN,64.0,26.0
France,250,FRA,46.0,2.0
French Guiana,254,GUF,4.0,-53.0
French Polynesia,258,PYF,-15.0,-140.0
French Southern Territories,260,ATF,-43.0,67.0
Gabon,266,GAB,-1.0,11.75
Gambia,270,GMB,13.4667,-16.5667
Georgia,268,GEO,42.0,43.5
Germany,276,DEU,51.0,9.0
Ghana,288,GHA,8.0,-2.0
Gibraltar,292,GIB,36.1833,-5.3667
Greece,300,GRC,39.0,22.0
Greenland,304,GRL,72.0,-40.0
Grenada,308,GRD,12.1167,-61.6667
Guadeloupe,312,GLP,16.25,-61.5833
Guam,316,GUM,13.4667,144.7833
Guatemala,320,GTM,15.5,-90.25
Guernsey,831,GGY,49.5,-2.56
Guinea,324,GIN,11.0,-10.0
