ISO,Country,Region,Sub-region
DZA,Algeria,Africa,Northern Africa
EGY,Egypt,Africa,Northern Africa
LBY,Libya,Africa,Northern Africa
MAR,Morocco,Africa,Northern Africa
SDN,Sudan,Africa,Northern Africa
TUN,Tunisia,Africa,Northern Africa
ESH,Western Sahara,Africa,Northern Africa
IOT,British Indian Ocean Territory,Africa,Sub-Saharan Africa
BDI,Burundi,Africa,Sub-Saharan Africa
COM,Comoros,Africa,Sub-Saharan Africa
DJI,Djibouti,Africa,Sub-Saharan Africa
ERI,Eritrea,Africa,Sub-Saharan Africa
ETH,Ethiopia,Africa,Sub-Saharan Africa
ATF,French Southern Territories,Africa,Sub-Saharan Africa
KEN,Kenya,Africa,Sub-Saharan Africa
MDG,Madagascar,Africa,Sub-Saharan Africa
MWI,Malawi,Africa,Sub-Saharan Africa
MUS,Mauritius,Africa,Sub-Saharan Africa
MYT,Mayotte,Africa,Sub-Saharan Africa
MOZ,Mozambique,Africa,Sub-Saharan Africa
REU,Réunion,Africa,Sub-Saharan Africa
RWA,Rwanda,Africa,Sub-Saharan Africa
SYC,Seychelles,Africa,Sub-Saharan Africa
SOM,Somalia,Africa,Sub-Saharan Africa
SSD,South Sudan,Africa,Sub-Saharan Africa
UGA,Uganda,Africa,Sub-Saharan Africa
TZA,United Republic of Tanzania,Africa,Sub-Saharan Africa
ZMB,Zambia,Africa,Sub-Saharan Africa
ZWE,Zimbabwe,Africa,Sub-Saharan Africa
AGO,Angola,Africa,Sub-Saharan Africa
CMR,Cameroon,Africa,Sub-Saharan Africa
CAF,Central African Republic,Africa,Sub-Saharan Africa
TCD,Chad,Africa,Sub-Saharan Africa
COG,Congo,Africa,Sub-Saharan Africa
COD,Democratic Republic of the Congo,Africa,Sub-Saharan Africa
GNQ,Equatorial Guinea,Africa,Sub-Saharan Africa
GAB,Gabon,Africa,Sub-Saharan Africa
STP,Sao Tome and Principe,Africa,Sub-Saharan Africa
BWA,Botswana,Africa,Sub-Saharan Africa
SWZ,Eswatini,Africa,Sub-Saharan Africa
LSO,Lesotho,Africa,Sub-Saharan Africa
NAM,Namibia,Africa,Sub-Saharan Africa
ZAF,South Africa,Africa,Sub-Saharan Africa
BEN,Benin,Africa,Sub-Saharan Africa
BFA,Burkina Faso,Africa,Sub-Saharan Africa
