ISO,Score,Rank,Political Context,Rank_Pol,Economic Context,Rank_Eco,Legal Context,Rank_Leg,Social Context,Rank_Soc,Safety,Rank_Saf,Zone,Country_EN,Country_FR,Country_ES,Country_AR,Country_FA,Year (N),Rank N-1,Rank evolution,Country_PT,Score N-1,Score evolution
NOR,"92,65",1,"94,89",1,"90,38",1,"92,23",1,"93,71",2,"92,03",11,Europe - Asie centrale,Norway,Norvège,Noruega,النرويج,نروژ,2022,1,0,,,
DNK,"90,27",2,"94,34",2,"83,67",3,"89,18",4,"91,17",9,"92,97",7,Europe - Asie centrale,Denmark,Danemark,Dinamarca,الدنمارك,دانمارک,2022,4,2,,,
SWE,"88,84",3,"91,96",3,"87,66",2,"90,27",3,"90,18",12,"84,14",32,Europe - Asie centrale,Sweden,Suède,Suecia,السويد,سوئد,2022,3,0,,,
EST,"88,83",4,"91,11",5,"81,97",6,"87,87",5,90,13,"93,2",6,Europe - Asie centrale,Estonia,Estonie,Estonia,إستونيا,استونی,2022,15,11,,,
FIN,"88,42",5,"90,4",6,"82,03",5,"86,64",9,"90,77",10,"92,26",10,Europe - Asie centrale,Finland,Finlande,Finlandia,فنلندا,فنلاند,2022,2,-3,,,
IRL,"88,3",6,"89,24",9,"79,08",8,"85,09",14,"92,5",4,"95,58",2,Europe - Asie centrale,Ireland,Irlande,Irlanda,أيرلندا,ایرلند,2022,12,6,,,
PRT,"87,07",7,"91,86",4,"77,41",9,"84,21",18,"93,14",3,"88,73",18,Europe - Asie centrale,Portugal,Portugal,Portugal,البرتغال,پرتغال,2022,9,2,,,
CRI,"85,92",8,"81,62",17,"72,96",11,"87,72",6,"92,5",4,"94,78",3,Amériques,Costa Rica,Costa Rica,Costa Rica,كوستاريكا,کاستاریکا,2022,5,-3,,,
LTU,"84,14",9,"87,01",11,"72,16",13,"84,46",16,"89,71",16,"87,37",23,Europe - Asie centrale,Lithuania,Lituanie,Lituania,ليتوانيا,لیتوانی,2022,28,19,,,
LIE,"84,03",10,"80,36",20,"68,78",19,"84,74",15,"89,8",14,"96,46",1,Europe - Asie centrale,Liechtenstein,Liechtenstein,Liechtenstein,ليختنشتاين,لیختن‌اشتاین,2022,23,13,,,
NZL,"83,54",11,"90,15",7,"75,26",10,"74,78",54,"89,75",15,"87,76",21,Asie-Pacifique,New Zealand,Nouvelle-Zélande,Nueva Zelanda,نيوزيلاندا,زلاند نو,2022,8,-3,,,
JAM,"83,35",12,"74,85",32,"71,94",14,"82,46",24,95,1,"92,52",8,Amériques,Jamaica,Jamaïque,Jamaica,جامايكا,جامائیکا,2022,7,-5,,,
SYC,"83,33",13,"80,45",19,"69,13",18,"85,31",13,"90,25",11,"91,5",13,Afrique,Seychelles,Seychelles,Seychelles,سيشيل,سی‌شل,2022,52,39,,,
CHE,"82,72",14,90,8,"68,37",21,"80,99",29,"88,33",21,"85,92",27,Europe - Asie centrale,Switzerland,Suisse,Suiza,سويسرا,سويیس,2022,10,-4,,,
ISL,"82,69",15,"86,21",13,"65,56",28,"82,68",23,"87,5",23,"91,5",13,Europe - Asie centrale,Iceland,Islande,Islandia,أيسلندا,ایسلند,2022,16,1,,,
DEU,"82,04",16,"87,03",10,"80,07",7,"87,08",8,"89,47",17,"66,58",91,Europe - Asie centrale,Germany,Allemagne,Alemania,ألمانيا,آلمان,2022,13,-3,,,
TLS,"81,89",17,"85,45",14,"68,71",20,"85,96",11,"75,67",65,"93,65",5,Asie-Pacifique,East Timor,Timor oriental,Timor Oriental,تيمور الشرقية,تیمور شرقی,2022,71,54,,,
NAM,"81,84",18,"72,97",37,"69,8",17,"82,98",22,"91,6",8,"91,84",12,Afrique,Namibia,Namibie,Namibia,ناميبيا,نامیبیا,2022,24,6,,,
