Source,Target,Weight,Type
528,372,4.268435972278355,directed
818,40,4.164616013496051,directed
288,430,4.04049524072518,directed
887,120,4.254857943747624,directed
776,834,4.087663857677903,directed
380,591,4.158854991616831,directed
410,724,4.374039410074673,directed
392,512,4.304409326287945,directed
158,84,3.5162833947492813,directed
417,356,4.08289483165552,directed
196,348,4.342885139409682,directed
44,372,4.128259397758838,directed
76,104,5.165642076502733,directed
340,320,4.488462099498356,directed
203,233,4.097563290258226,directed
64,104,3.885416666666667,directed
232,116,4.725943714189416,directed
352,862,4.625834627202623,directed
328,670,4.231086924886969,directed
826,600,4.007103423761545,directed
212,670,4.198983109272665,directed
68,807,4.339080459770116,directed
328,682,4.073383084577114,directed
212,682,3.85061007792108,directed
492,156,4.240961028824489,directed
56,40,4.287507586941334,directed
32,332,4.120306776556777,directed
462,372,4.635471431538552,directed
826,748,4.121207398171239,directed
694,120,3.9702348573891086,directed
48,826,4.544594562163727,directed
191,784,4.287598332842351,directed
380,204,4.091172264178587,directed
392,31,4.169145192162916,directed
404,894,4.171813375828921,directed
52,188,4.248125521530729,directed
428,616,4.320383863206759,directed
504,858,4.571763774510514,directed
276,740,4.241872064495467,directed
388,804,4.360328638497653,directed
450,120,5.663145539906101,directed
400,562,4.813187821644899,directed
659,300,4.191978193146418,directed
250,496,4.008668507740988,directed
84,222,4.099364260109522,directed
20,800,3.873456790123457,directed
184,392,3.996380928844978,directed
682,686,4.097557985369352,directed
716,784,4.525238634851719,directed
584,296,3.740245261984392,directed
90,392,4.494828908204784,directed
466,275,4.394984367540449,directed
752,703,4.329752341670844,directed
784,184,4.137267711962834,directed
204,132,4.228959025470654,directed
586,578,4.494353611919577,directed
528,191,4.471610192347997,directed
308,434,4.203382007385028,directed
554,792,4.405400803143915,directed
32,834,4.511942296899959,directed
20,752,3.9420410427066,directed
608,340,4.654843275449569,directed
508,356,3.968287587835728,directed
156,50,4.065010689446772,directed
458,120,4.204198742819027,directed
84,368,4.291666666666667,directed
634,688,3.858024691358025,directed
275,762,5.549192844677136,directed
462,191,4.857456140350877,directed
156,446,3.9630924380305856,directed
368,320,4.449747170572401,directed
84,780,4.066105964570129,directed
380,208,4.008526490450273,directed
854,566,4.633162946732704,directed
470,458,4.037291950580891,directed
752,434,4.35004074979625,directed
196,792,4.189100354987715,directed
36,788,3.54091907691041,directed
724,340,4.269071309102518,directed
288,752,3.772386809921756,directed
184,208,3.934833694866233,directed
784,68,4.566958637469587,directed
862,818,4.020354287430084,directed
764,398,4.003331625724669,directed
100,196,4.224358974358975,directed
608,410,4.224054121125861,directed
178,180,4.56294266836089,directed
702,398,3.894927536231884,directed
578,100,4.324284880326911,directed
752,222,4.398107200542176,directed
348,32,3.8384124392534025,directed
84,320,4.295086109170912,directed
360,400,4.343667337366593,directed
646,694,4.435985395602632,directed
380,60,4.28931222283367,directed
840,50,4.222407206229922,directed
670,528,5.835137085137085,directed
440,156,4.253625988422408,directed
308,780,4.422726225364556,directed
60,724,3.687522683813568,directed
760,470,4.585971581292829,directed
643,8,4.452810922794176,directed
