Source,Target,Weight,Type
320,504,53.17921513028719,undirected
894,776,55.20406766635944,undirected
694,156,60.82072581835743,undirected
504,32,57.79159871319523,undirected
643,376,52.75244139993649,undirected
32,222,56.560927623402485,undirected
882,392,57.11993977532088,undirected
716,854,57.89938606545268,undirected
348,458,60.51541647491946,undirected
724,156,58.02466506255891,undirected
404,740,57.34001757439801,undirected
858,156,60.5321493887357,undirected
462,156,57.66432575998162,undirected
516,392,58.73379040037784,undirected
498,752,58.63982743623745,undirected
116,458,58.0973179841941,undirected
231,408,53.11976236703673,undirected
360,818,55.94425713608296,undirected
492,156,58.023758789493144,undirected
418,392,61.25671728419977,undirected
380,100,57.50057852677695,undirected
528,752,56.387345772284775,undirected
662,752,60.45786418753346,undirected
51,598,54.6825191694667,undirected
792,44,56.87824198645362,undirected
434,336,50.23286163261851,undirected
48,300,56.99135493491734,undirected
144,762,54.17497571202127,undirected
598,178,56.77341526398129,undirected
504,516,56.71425127250859,undirected
690,706,57.74150943396226,undirected
643,860,57.114601627142065,undirected
729,634,53.763926003774515,undirected
710,392,56.27726559489648,undirected
882,876,57.75298272007355,undirected
214,188,58.12582517797722,undirected
558,752,54.07956674659489,undirected
158,818,58.090307176539326,undirected
340,300,57.00920468398743,undirected
804,404,57.01106280931417,undirected
40,8,57.5013183023029,undirected
8,470,59.00020522561052,undirected
682,414,58.19784277064133,undirected
76,604,56.06221303502369,undirected
458,706,55.11203953284871,undirected
417,116,60.39610914757241,undirected
834,404,56.97509251011748,undirected
204,8,54.05252177068216,undirected
300,470,53.63438486774601,undirected
792,178,54.51218255328232,undirected
434,470,52.284595044735816,undirected
188,414,52.186354287758206,undirected
50,480,58.445046967232734,undirected
686,132,56.13496211979612,undirected
729,768,56.046555080503026,undirected
32,840,56.90148349451432,undirected
48,784,53.75398867561471,undirected
368,8,60.02448344745541,undirected
752,348,55.894659110377944,undirected
591,430,56.865527373956084,undirected
682,548,56.43778778578258,undirected
324,840,56.064030161364045,undirected
24,548,53.42181004157339,undirected
454,132,58.7114808052118,undirected
192,132,66.26962936592697,undirected
340,784,57.36918071080771,undirected
417,250,59.625102013796464,undirected
212,784,58.20468839336764,undirected
246,368,53.59813584786187,undirected
380,368,56.20738850757833,undirected
36,558,57.21969699698059,undirected
591,780,63.94129979035639,undirected
218,40,59.72447875917582,undirected
620,20,58.45021160133763,undirected
300,604,57.03453313689755,undirected
188,548,60.25738902824735,undirected
862,492,54.340831406194916,undirected
466,492,53.12531601295513,undirected
108,784,48.50595915653827,undirected
504,784,53.90145517513533,undirected
600,492,53.188170189007664,undirected
242,784,59.06245049074661,undirected
686,266,54.99492957367086,undirected
634,76,57.307332539494766,undirected
792,662,54.015700356462204,undirected
768,76,57.957436175682886,undirected
372,76,54.53506845184166,undirected
520,728,58.63330210981757,undirected
392,728,59.540925223159434,undirected
40,276,55.44800446862088,undirected
480,548,60.25738902824735,undirected
686,616,58.42767785009768,undirected
703,31,58.32377791048927,undirected
24,682,57.12841786627693,undirected
288,728,59.476879207282494,undirected
422,728,68.30707046160693,undirected
191,795,61.48645663028588,undirected
222,108,60.86157956253131,undirected
410,344,57.91549190688741,undirected
454,616,57.693366970984094,undirected
410,694,58.74110189257112,undirected
124,108,55.78776715541902,undirected
826,380,55.87099432008873,undirected
752,616,55.68495028611429,undirected
328,288,63.32744394142477,undirected
40,760,53.59548012199255,undirected
76,417,55.98177916022155,undirected
566,52,63.15176795848087,undirected
170,52,56.46525785895194,undirected
56,704,59.850911865207934,undirected
620,288,55.42348750654411,undirected
508,232,53.64616211919291,undirected
112,232,50.11746801624073,undirected
788,222,59.47214513214998,undirected
124,242,61.020344778594364,undirected
643,807,55.075124857496206,undirected
388,288,57.18420733975714,undirected
728,356,49.734710203156524,undirected
332,356,51.34518508880747,undirected
800,232,50.53725059842846,undirected
404,232,55.49368348480023,undirected
562,818,54.08841179335308,undirected
180,524,65.98755519871538,undirected
276,232,54.151776294435365,undirected
634,694,58.895960192394845,undirected
768,694,56.781176558180064,undirected
372,694,59.68659863269804,undirected
50,643,57.42655163761806,undirected
191,124,56.56162428178433,undirected
8,417,54.62531149875401,undirected
250,704,59.62741452388627,undirected
704,120,56.60377358490566,undirected
854,818,57.88716359741147,undirected
72,28,53.82538536401595,undirected
512,300,53.315916615964696,undirected
300,417,61.97409066484669,undirected
203,484,57.281244660978885,undirected
184,242,58.758355596449604,undirected
716,480,54.8810551320266,undirected
788,356,46.90694334044542,undirected
218,203,50.43268009285394,undirected
756,818,55.97435001919209,undirected
508,716,55.178422755328775,undirected
348,434,52.36294898405756,undirected
764,120,51.95517414836367,undirected
484,480,57.60084963065617,undirected
728,840,55.072571015267556,undirected
800,716,56.97171641625124,undirected
404,716,56.51975335919466,undirected
533,372,58.16977846047201,undirected
170,320,55.58670489730564,undirected
528,28,58.161970781558296,undirected
276,716,57.36161430624881,undirected
706,300,56.19258967854087,undirected
191,608,55.71603237964113,undirected
512,434,56.81330199239284,undirected
116,434,63.41884039894129,undirected
704,604,61.078224554712534,undirected
336,208,54.50942145866937,undirected
566,670,53.8828887789724,undirected
170,670,55.074768217770796,undirected
674,203,58.622311288172426,undirected
352,152,54.06789715464226,undirected
496,840,57.51665598568239,undirected
558,28,55.90534764932764,undirected
702,716,60.42936103706953,undirected
144,388,59.15014650532691,undirected
32,332,57.14623239729065,undirected
156,398,58.55394803825308,undirected
104,208,48.64423868349478,undirected
788,840,55.44506001903879,undirected
442,203,55.396367969954426,undirected
516,152,50.80533824206165,undirected
364,512,54.358363149601566,undirected
690,682,60.151016298538565,undirected
270,96,54.87832205440774,undirected
308,388,57.24005421368153,undirected
8,96,54.87049967810627,undirected
156,748,58.57279042142956,undirected
682,40,57.69892331952671,undirected
324,332,53.94950360653443,undirected
706,434,53.662281858561556,undirected
764,604,60.58959392705749,undirected
212,276,55.535446101943194,undirected
694,50,59.23822667936997,undirected
36,50,57.57842037430167,undirected
528,512,58.88167762459727,undirected
170,804,53.21716228627263,undirected
706,784,55.11331301458465,undirected
72,646,57.17529553445558,undirected
188,40,58.86254289969311,undirected
504,276,55.854048082125665,undirected
662,862,61.46458794317536,undirected
643,620,54.636464653693324,undirected
242,276,56.82051806445759,undirected
724,50,60.570932092620765,undirected
32,466,56.852035749751735,undirected
462,50,56.574699895710665,undirected
348,702,55.90150893678376,undirected
48,410,54.49784372479982,undirected
364,646,52.418167884590986,undirected
703,112,59.333424507434835,undirected
480,40,47.227983059866176,undirected
724,400,54.825849518342956,undirected
858,400,52.032691777992014,undirected
462,400,55.47185244238315,undirected
156,882,59.64697048302661,undirected
591,56,58.19698310003481,undirected
233,348,54.16186250166109,undirected
682,174,60.475929879331076,undirected
324,466,54.02711794550495,undirected
76,364,52.72897640924205,undirected
795,51,57.51640719022028,undirected
492,50,54.15582012872126,undirected
703,462,55.262451273858034,undirected
340,410,59.745801355756896,undirected
116,702,59.479364450260064,undirected
36,184,56.63347102389479,undirected
528,646,54.399413268131205,undirected
132,646,46.01200686106341,undirected
266,646,62.801083902047374,undirected
492,400,55.71437019056607,undirected
72,780,56.17398879022588,undirected
450,174,57.66225729423973,undirected
336,826,54.062115974291885,undirected
380,344,54.58662532380862,undirected
504,410,58.773872952670345,undirected
242,410,56.068940819416156,undirected
792,288,58.88569777180772,undirected
504,760,54.33089019160146,undirected
480,174,58.901658908942494,undirected
8,364,51.14313847618037,undirected
784,585,64.1690738293653,undirected
498,191,56.779060462336965,undirected
104,826,53.92468341570215,undirected
24,308,55.315677145512495,undirected
586,196,59.95719375335513,undirected
704,417,59.90757760434956,undirected
528,191,54.28036552820801,undirected
20,724,58.088868115330776,undirected
340,894,64.40273562915073,undirected
818,704,59.339902289256685,undirected
417,360,59.62300109685016,undirected
380,478,57.81749895795446,undirected
792,422,52.73312729130454,undirected
616,196,55.03573148647244,undirected
426,72,58.20353338822425,undirected
752,242,54.44743935309973,undirected
504,894,60.455895317486224,undirected
242,894,59.80898497313852,undirected
686,376,52.95695559744707,undirected
214,566,54.26691448984286,undirected
426,422,59.235014760621226,undirected
250,196,55.918177452481245,undirected
4,729,53.04727918165225,undirected
764,417,61.641075451032265,undirected
682,792,55.287779768639595,undirected
24,792,68.59536696874311,undirected
454,376,54.49568427262346,undirected
192,376,53.08816789978185,undirected
68,340,56.4411211803279,undirected
604,320,60.811062411724194,undirected
356,218,61.5039780733409,undirected
414,196,51.48612334602025,undirected
410,454,61.66813642978013,undirected
148,454,57.05099591374292,undirected
826,140,55.50201045468637,undirected
450,792,55.57183839986678,undirected
188,792,62.06356171253055,undirected
12,566,57.139716383066904,undirected
218,634,56.18098567408993,undirected
634,320,51.88984009131137,undirected
372,320,60.10250743507075,undirected
124,218,58.99906432353812,undirected
178,454,54.83490566037735,undirected
800,208,58.73816011577651,undirected
480,792,56.02931474968724,undirected
703,275,53.445930554798764,undirected
398,578,57.05840607652516,undirected
604,454,64.82880093939313,undirected
620,398,61.18779947297723,undirected
262,690,58.815888478405796,undirected
702,208,57.246838515257,undirected
90,583,59.75945681357322,undirected
604,804,55.03444582433585,undirected
728,116,61.96570489250837,undirected
428,578,57.11807502785808,undirected
562,578,52.492853058890795,undirected
372,454,60.600613467974014,undirected
124,352,57.408971645940014,undirected
826,624,52.74032681502564,undirected
784,398,59.743057829269056,undirected
728,466,61.10850476528556,undirected
752,860,57.37072825827585,undirected
442,634,58.96711133471402,undirected
180,634,57.60030613990639,undirected
634,804,54.619381268180334,undirected
56,598,57.364832725543046,undirected
4,408,54.66581874669333,undirected
854,578,52.49285305889079,undirected
100,116,55.47987194332811,undirected
496,116,56.586377679055,undirected
196,578,57.16047634829685,undirected
528,4,54.3567605886632,undirected
740,826,55.38347466480238,undirected
894,512,55.26516881315925,undirected
756,578,56.37653236122843,undirected
643,112,56.24032981079946,undirected
332,250,55.40368677262698,undirected
156,24,60.469520230821125,undirected
558,4,51.84795191584338,undirected
788,466,56.84901144257773,undirected
442,768,61.912137426077166,undirected
180,768,60.176736632044864,undirected
706,60,51.82126521798979,undirected
100,250,57.082498891793215,undirected
191,368,53.25945891983627,undirected
784,882,56.01841055495227,undirected
704,364,59.342027318345764,undirected
360,554,58.19105500120225,undirected
76,795,59.846698113207545,undirected
800,826,54.03828101913049,undirected
706,410,51.93049637127802,undirected
356,31,57.449061479577466,undirected
760,646,55.8524305008175,undirected
894,646,57.91303177667831,undirected
566,780,55.737872499816305,undirected
643,246,54.14827915730739,undirected
524,554,55.36926093736486,undirected
716,724,62.715847937908855,undirected
702,826,57.80626036806775,undirected
48,36,50.9344517873545,undirected
124,31,55.019861457527526,undirected
156,508,56.863516532787386,undirected
804,729,53.562999461782354,undirected
408,729,59.55415385715251,undirected
764,364,52.30301039840964,undirected
158,554,59.0864352112001,undirected
340,36,57.83941455294104,undirected
484,724,57.13553954402478,undirected
360,688,60.52932781473541,undirected
795,616,55.85064214364991,undirected
533,616,48.9812755577875,undirected
458,442,55.87070317296779,undirected
834,729,57.75547162415573,undirected
418,262,53.766830278740926,undirected
504,36,57.80405231966847,undirected
643,380,54.878843583184405,undirected
242,36,58.65079260253017,undirected
678,566,57.28064558326925,undirected
320,858,54.28793328360757,undirected
48,170,71.76281883446217,undirected
729,504,53.33144435880273,undirected
710,262,56.60510954414823,undirected
76,124,57.62553080499137,undirected
364,756,52.36076191139997,undirected
340,170,55.86336428166257,undirected
498,756,57.78298944909016,undirected
484,858,55.19763639261337,undirected
233,458,60.44636740212786,undirected
380,104,58.85937358990967,undirected
454,807,62.57740220004371,undirected
528,756,56.95850806433507,undirected
192,807,62.14622641509434,undirected
792,48,53.70120902476314,undirected
504,520,55.0893043203705,undirected
242,520,60.99317064569326,undirected
32,710,56.81929802346539,undirected
104,586,55.54779484397511,undirected
214,192,57.278788866955466,undirected
558,756,55.55576391405992,undirected
703,356,53.81368857732433,undirected
804,408,55.095598582439635,undirected
40,12,54.70951694971474,undirected
275,818,53.26743024618416,undirected
591,300,58.856071034983685,undirected
682,418,60.34293703812649,undirected
324,710,55.455283861835355,undirected
76,608,57.06250718946664,undirected
136,659,62.65386626110927,undirected
31,84,63.1149918001735,undirected
36,428,56.19760358328322,undirected
466,12,55.47955037787172,undirected
52,372,53.715301668414966,undirected
450,418,63.09774203526136,undirected
31,434,49.455937099797026,undirected
12,192,55.61724520553528,undirected
520,598,54.76610802582536,undirected
392,598,57.606206193759334,undirected
48,788,50.854463919653,undirected
478,372,58.3628643375982,undirected
752,352,55.36544091931697,undirected
50,834,58.04639370378927,undirected
328,24,58.21763674868202,undirected
8,608,59.20626998260188,undirected
192,136,56.505059905764256,undirected
703,840,57.01842015426001,undirected
40,496,58.22196016771489,undirected
246,372,58.53882523589223,undirected
591,784,55.89663892779314,undirected
620,24,57.32701221149654,undirected
300,608,56.07807516489828,undirected
410,214,59.37901284498804,undirected
562,204,53.918446945207386,undirected
826,250,55.64877453149283,undirected
616,440,55.78069375373948,undirected
578,148,51.72603746449811,undirected
784,24,56.728263336507545,undirected
44,214,55.61598118723549,undirected
598,800,54.995711835334475,undirected
250,90,57.17399873531929,undirected
686,620,57.337650829100966,undirected
768,430,57.22105578182207,undirected
854,204,54.36722251940001,undirected
368,496,55.99698415915883,undirected
24,686,57.23300485174198,undirected
608,148,63.04966204754822,undirected
250,440,56.56277337079166,undirected
208,214,60.477083273689324,undirected
356,112,58.471736880804734,undirected
400,384,48.27248223474639,undirected
620,158,58.587225879178696,undirected
704,795,59.36866760698029,undirected
148,348,55.87858887713564,undirected
96,158,54.682109092569945,undirected
454,620,51.63775734669187,undirected
192,620,56.25493154854948,undirected
756,204,57.72516909932361,undirected
356,462,55.988467883020746,undirected
414,440,58.76572327044025,undirected
218,528,55.605206692718006,undirected
262,800,53.62468876602716,undirected
792,800,54.88277370664372,undirected
28,404,53.53286981018867,undirected
826,384,57.076745467212675,undirected
124,112,52.55449449109598,undirected
430,384,55.65418980394918,undirected
756,554,56.797348737624034,undirected
388,158,58.83459678372924,undirected
478,51,56.48297583066796,undirected
498,703,55.118573712528594,undirected
124,462,54.19818678798601,undirected
784,508,59.328710716432596,undirected
426,800,64.33024857136724,undirected
682,231,53.86486742915673,undirected
360,180,56.25801037774486,undirected
40,764,59.340176237475674,undirected
764,795,56.60377358490566,undirected
566,56,58.60462308173774,undirected
170,56,55.832607393036156,undirected
706,36,54.114059352958236,undirected
740,586,55.75079204597094,undirected
246,51,55.0058363519159,undirected
380,51,53.872743566446644,undirected
528,703,54.83719348339322,undirected
887,232,51.70374971248032,undirected
450,231,59.20741761477399,undirected
188,231,60.5421206484188,undirected
788,226,61.70627721335269,undirected
756,688,54.948163583884195,undirected
508,586,57.151262393330384,undirected
728,360,56.60377358490566,undirected
332,360,60.55678997759739,undirected
554,180,58.65815518156854,undirected
724,591,55.162797826228854,undirected
858,591,54.09341705002922,undirected
462,591,57.64960543723111,undirected
704,124,59.48494712993567,undirected
308,124,57.24878393750731,undirected
800,586,58.50827656384722,undirected
276,586,56.7740153751902,undirected
706,170,56.60377358490566,undirected
496,360,58.34217107921306,undirected
458,68,50.79158533940576,undirected
100,360,55.41072990746796,undirected
72,32,60.40252884696123,undirected
492,591,53.4378563832652,undirected
496,710,59.78050314653825,undirected
620,776,55.9591847386414,undirected
716,484,57.84627959691838,undirected
702,586,57.69149676974983,undirected
678,192,54.915316655619975,undirected
320,484,55.031526315607,undirected
788,360,59.737847331211206,undirected
894,756,59.8260778715277,undirected
364,32,54.431946694120654,undirected
643,356,56.44984886385261,undirected
887,716,52.55659376497531,undirected
788,710,59.45684394477034,undirected
862,659,64.122303614214,undirected
764,124,56.99381331921343,undirected
60,156,53.72210899398901,undirected
762,428,59.60744639712529,undirected
132,32,58.88484882217543,undirected
704,608,57.72825735187547,undirected
360,798,60.03154897192968,undirected
352,156,55.66903448117388,undirected
90,156,57.12221803749561,undirected
659,84,60.06246698834181,undirected
356,275,53.43669497630094,undirected
72,516,57.06614766307462,undirected
512,788,57.78277308098424,undirected
144,392,58.97611777673322,undirected
694,270,58.89293450727429,undirected
51,578,57.528283724646755,undirected
32,336,56.33531514142095,undirected
392,90,55.79508153314308,undirected
516,156,58.74297326510893,undirected
120,156,57.33602981445405,undirected
724,270,55.640156870208244,undirected
404,854,52.823700200928926,undirected
710,372,56.40185869351988,undirected
8,100,56.46478527814307,undirected
156,752,56.864289758603746,undirected
682,44,60.63942981651961,undirected
764,608,57.31087403231902,undirected
554,798,58.246216415305106,undirected
158,798,59.311442409363984,undirected
795,860,57.96908032733485,undirected
528,516,55.3336288397972,undirected
706,788,54.83589021744101,undirected
300,100,56.518206770913885,undirected
458,686,55.56304258624594,undirected
434,100,55.33922008392464,undirected
320,752,55.06938103983519,undirected
188,44,61.0609922075511,undirected
584,798,57.10125009353439,undirected
694,404,58.94937996934104,undirected
792,158,57.480553291100165,undirected
184,275,53.936774068902,undirected
48,414,58.88578119783037,undirected
226,686,57.53110763067153,undirected
480,44,61.90123853284039,undirected
275,578,52.92418806479057,undirected
724,404,57.82833006137174,undirected
858,404,54.067953917411955,undirected
462,404,56.621851713241625,undirected
682,178,54.27738548166412,undirected
76,368,55.537116020680386,undirected
24,178,56.12929707852247,undirected
703,466,56.35610393119287,undirected
340,414,59.71729248396538,undirected
740,533,57.61352489758237,undirected
344,533,62.0545073375262,undirected
591,410,55.18763517621724,undirected
233,702,60.60370260099053,undirected
682,528,57.4537500130179,undirected
492,404,54.97683557775365,undirected
68,76,55.98905143640843,undirected
380,348,56.1522118604733,undirected
300,584,55.75490992404932,undirected
450,528,63.29019179791048,undirected
188,528,58.24422485176821,undirected
752,112,61.2051925376027,undirected
504,764,55.023621520062605,undirected
480,178,54.83490566037735,undirected
242,764,59.84138338102004,undirected
480,528,55.6533987448736,undirected
682,662,56.02952117216724,undirected
262,76,61.11260714791118,undirected
454,246,59.63055812112416,undirected
192,246,59.89782791562521,undirected
674,20,56.28977449874422,undirected
417,364,55.79749464029854,undirected
31,328,58.72104348262762,undirected
760,703,56.15786141195534,undirected
410,324,56.210306384471835,undirected
148,324,54.58344268837275,undirected
756,180,54.179182039354224,undirected
442,20,57.152053274139845,undirected
686,380,57.29875682489423,undirected
28,380,56.60377358490566,undirected
478,616,57.15797942192505,undirected
233,31,58.709703664503856,undirected
480,662,59.59182607004962,undirected
400,144,58.22211430216456,undirected
740,212,58.48308353050848,undirected
454,380,56.87159303005927,undirected
192,380,57.274909198374004,undirected
417,498,50.38910730829574,undirected
604,324,57.043768442703076,undirected
566,32,58.213106031687865,undirected
246,616,55.52885485161294,undirected
356,222,56.87467672765912,undirected
410,458,58.864428114674745,undirected
372,324,57.20923402230036,undirected
124,222,57.5140956083348,undirected
578,392,57.7474382022192,undirected
440,458,60.22388675362994,undirected
178,458,58.14967496432535,undirected
728,336,56.749080518777525,undirected
442,504,56.94080913245291,undirected
180,504,57.22032716365679,undirected
688,156,60.54930039144953,undirected
760,32,54.253103415603,undirected
608,392,57.75203493904028,undirected
208,458,55.27069351503469,undirected
56,818,53.80873411678586,undirected
336,643,56.19733548715005,undirected
583,520,57.06847061868341,undirected
356,706,53.99311736086389,undirected
332,120,59.5095908214942,undirected
788,336,52.53709154919838,undirected
124,356,53.38900279823078,undirected
498,8,58.275512986676,undirected
104,643,55.88425757458068,undirected
728,470,53.54339090401043,undirected
124,706,55.278973783575964,undirected
784,752,60.054369421129245,undirected
116,64,63.35523539694979,undirected
250,818,54.51256332259461,undirected
398,716,60.86875898196653,undirected
384,818,59.33154740384673,undirected
566,300,57.61054350371238,undirected
528,8,55.94424822087986,undirected
170,300,58.46108202997509,undirected
400,762,56.15545811457015,undirected
4,762,54.79782067666745,undirected
496,470,58.708647798742135,undirected
894,516,56.018255950705075,undirected
336,188,50.16801437556154,undirected
222,840,54.73707435132863,undirected
203,598,53.88085450115551,undirected
356,840,56.42838907253525,undirected
643,116,59.33378932761233,undirected
428,716,57.29706036546411,undirected
414,818,58.035538429996464,undirected
882,132,57.35351777295374,undirected
788,470,56.89437067111025,undirected
140,434,52.706788662165366,undirected
332,604,58.58770913077266,undirected
404,480,56.92642099878866,undirected
276,480,56.622374528551774,undirected
40,203,54.882811242682166,undirected
124,840,55.77509306576819,undirected
191,372,56.629994857547885,undirected
196,716,56.779330401475384,undirected
231,148,54.61136206791687,undirected
360,558,52.01781970649896,undirected
704,368,55.91636514991189,undirected
170,434,52.88761241127997,undirected
100,604,60.508682833620185,undirected
72,276,60.03192443356365,undirected
144,152,60.107055643221074,undirected
418,132,56.77847658979734,undirected
528,492,58.345616293315096,undirected
170,784,57.37389362814578,undirected
566,784,57.052343437863925,undirected
662,492,60.88683119600171,undirected
643,250,54.15265648503386,undirected
729,24,57.3732636825615,undirected
434,76,53.53922288554238,undirected
716,728,62.73663488720346,undirected
788,604,53.70811614649739,undirected
48,40,56.14223426139553,undirected
364,276,53.03857367755079,undirected
184,840,57.657939954732925,undirected
643,600,55.24578748738152,undirected
275,204,59.122789686851725,undirected
710,132,59.12178044825462,undirected
882,616,58.28840970350403,undirected
156,512,56.448812267584984,undirected
558,492,57.322967621709765,undirected
348,682,58.41377831900277,undirected
764,368,58.87747266697129,undirected
516,266,54.11989491282541,undirected
860,76,56.84296347322922,undirected
158,558,58.881493082177634,undirected
340,40,56.60377358490566,undirected
858,380,56.48764953031005,undirected
156,862,58.79070859417254,undirected
132,276,54.64171900820581,undirected
591,36,55.21079365550047,undirected
458,446,64.58142202894729,undirected
512,682,58.2136199133242,undirected
116,682,60.926789184078984,undirected
776,728,57.46390505520113,undirected
242,40,53.95830034291623,undirected
352,400,56.60204371833075,undirected
417,795,56.790643006727734,undirected
320,862,53.79679309733205,undirected
659,328,56.60377358490566,undirected
598,52,57.85537096895436,undirected
418,616,61.120959331522954,undirected
729,508,56.08120225180575,undirected
710,266,53.53744227053628,undirected
48,524,65.26261165991887,undirected
478,108,55.02952357459468,undirected
364,760,53.74861368307248,undirected
498,760,52.85799138116241,undirected
484,862,54.45764509651703,undirected
191,51,58.61719106516045,undirected
275,688,55.325486754980005,undirected
710,616,55.59243857652251,undirected
591,170,53.633089418148614,undirected
233,462,54.969786656801084,undirected
682,288,59.99522967362937,undirected
76,478,56.14250372531323,undirected
212,524,55.75333976036359,undirected
740,643,56.68546063555254,undirected
380,108,55.58651323838859,undirected
528,760,52.60376733772905,undirected
108,174,56.60377358490566,undirected
792,52,55.95197255574614,undirected
72,894,56.82506180257128,undirected
450,288,59.28676744190945,undirected
188,288,67.80511105803672,undirected
504,524,62.166799680128236,undirected
466,232,51.798402390109246,undirected
242,524,64.9809209421171,undirected
508,643,51.173540553420935,undirected
214,196,56.21607650555698,undirected
558,760,54.917868158586586,undirected
156,191,58.22852070165797,undirected
446,704,59.85671299417274,undirected
50,704,61.09259674313111,undirected
752,222,55.08332866920616,undirected
270,478,56.53387561176389,undirected
682,422,54.97055483449765,undirected
368,232,50.456784532172435,undirected
800,643,56.229473720514164,undirected
276,643,54.16675039830887,undirected
703,710,55.56134681538622,undirected
417,124,58.60944729719611,undirected
496,417,58.33904328754624,undirected
100,417,62.77042424838703,undirected
320,191,50.52887364208118,undirected
410,84,57.182400827406525,undirected
52,376,52.87684523721036,undirected
148,84,47.69495714851519,undirected
68,320,54.325111326799345,undirected
702,643,56.79204836286951,undirected
31,438,53.78000256706456,undirected
12,196,57.725503865140986,undirected
788,417,58.646560689347794,undirected
826,120,56.270456778872756,undirected
44,84,57.30011945766202,undirected
752,356,56.58532790726437,undirected
862,716,51.02113661106695,undirected
480,422,62.13836477987421,undirected
328,28,52.21316306165768,undirected
398,208,59.03451133476703,undirected
548,152,56.68197214476364,undirected
591,788,60.5487882788875,undirected
212,203,54.41232785694255,undirected
620,28,57.143169112508744,undirected
410,218,53.51237566517413,undirected
368,716,52.75549572208416,undirected
894,8,57.3449946490798,undirected
417,608,63.9337586534546,undirected
428,208,57.379477991035536,undirected
108,792,50.81640058055154,undirected
792,670,62.93615921426726,undirected
372,84,56.604795682675004,undirected
504,203,59.62543838749246,undirected
578,152,58.88246414834377,undirected
242,203,54.44092628895028,undirected
44,218,55.4245283018868,undirected
598,804,60.181800013698606,undirected
388,28,54.60360314351478,undirected
686,624,53.77996959055185,undirected
634,434,54.52290810333284,undirected
372,434,50.400773982989264,undirected
196,208,55.28156783471518,undirected
233,275,53.31729292297065,undirected
608,152,57.771975544203904,undirected
752,840,56.99141729690423,undirected
40,634,57.26174325992301,undirected
360,50,54.81466993539682,undirected
84,152,55.931089839345816,undirected
232,804,51.313053095023754,undirected
208,218,55.11993912330059,undirected
400,388,56.12547945871371,undirected
56,578,56.815768700217234,undirected
496,96,60.04841112214498,undirected
840,660,58.48345433987539,undirected
454,624,60.26531717387994,undirected
192,624,59.76409921880002,undirected
222,466,55.090664052928204,undirected
246,860,55.63218522361265,undirected
566,276,57.41143329983731,undirected
356,466,54.74628880585033,undirected
376,152,52.947826643724056,undirected
524,50,59.00838205634487,undirected
620,512,59.84781161218067,undirected
262,804,52.34836003793538,undirected
410,702,58.63178714513177,undirected
96,512,60.13436249285306,undirected
430,388,59.71074908364156,undirected
826,388,56.07974793445746,undirected
156,4,55.9731263079499,undirected
124,466,56.900564444194664,undirected
554,50,55.37600328078705,undirected
158,50,58.59914308415552,undirected
784,512,57.123132912684376,undirected
44,702,62.17951909195002,undirected
440,702,59.060194661379285,undirected
178,702,64.64853708553605,undirected
250,578,55.70226990423609,undirected
360,184,60.698015553518104,undirected
795,112,59.031158461711755,undirected
328,646,58.85080429432534,undirected
191,348,56.336156894937936,undirected
688,400,56.60377358490566,undirected
320,4,53.173250726094835,undirected
760,276,52.90789187326909,undirected
894,276,59.233494109136956,undirected
682,585,53.22164579284435,undirected
398,826,57.77204367330485,undirected
136,826,57.804328079221406,undirected
222,600,57.829613492849305,undirected
566,410,58.62171626742989,undirected
356,600,58.490566037735846,undirected
620,646,52.85725463038692,undirected
336,887,50.78323625658683,undirected
583,764,63.24199112345133,undirected
332,364,53.44035091333946,undirected
428,826,57.569589939762665,undirected
882,242,58.27014519174383,undirected
562,826,56.216768844035904,undirected
348,308,60.41528396700484,undirected
124,600,56.76681451021135,undirected
158,184,58.34919872010248,undirected
388,646,54.03846153846153,undirected
104,887,51.440646911228264,undirected
795,246,59.66804394705702,undirected
706,174,56.470485312083184,undirected
324,72,56.60377358490566,undirected
854,826,57.94199049503164,undirected
100,364,55.7699563137548,undirected
458,72,58.53300922174635,undirected
196,826,56.22009228297194,undirected
