ID,Label,ISO
674,San Marino,SMR
64,Bhutan,BTN
400,Jordan,JOR
434,Libya,LBY
591,Panama,PAN
894,Zambia,ZMB
410,Republic of Korea,KOR
376,Israel,ISR
440,Lithuania,LTU
422,Lebanon,LBN
710,South Africa,ZAF
585,Palau,PLW
466,Mali,MLI
348,Hungary,HUN
231,Ethiopia,ETH
100,Bulgaria,BGR
388,Jamaica,JAM
558,Nicaragua,NIC
180,Democratic Republic of the Congo,COD
562,Niger,NER
706,Somalia,SOM
694,Sierra Leone,SLE
604,Peru,PER
40,Austria,AUT
752,Sweden,SWE
188,Costa Rica,CRI
192,Cuba,CUB
344,China Hong Kong Special Administrative Region,HKG
598,Papua New Guinea,PNG
533,Aruba,ABW
516,Namibia,NAM
887,Yemen,YEM
426,Lesotho,LSO
798,Tuvalu,TUV
446,China Macao Special Administrative Region,MAC
826,United Kingdom of Great Britain and Northern Ireland,GBR
807,North Macedonia,MKD
398,Kazakhstan,KAZ
332,Haiti,HTI
24,Angola,AGO
504,Morocco,MAR
740,Suriname,SUR
716,Zimbabwe,ZWE
136,Cayman Islands,CYM
748,Eswatini,SWZ
724,Spain,ESP
250,France,FRA
12,Algeria,DZA
704,Viet Nam,VNM
578,Norway,NOR
662,Saint Lucia,LCA
784,United Arab Emirates,ARE
678,Sao Tome and Principe,STP
51,Armenia,ARM
380,Italy,ITA
768,Togo,TGO
52,Barbados,BRB
508,Mozambique,MOZ
670,Saint Vincent and the Grenadines,VCT
246,Finland,FIN
660,Anguilla,AIA
480,Mauritius,MUS
858,Uruguay,URY
620,Portugal,PRT
90,Solomon Islands,SLB
50,Bangladesh,BGD
528,Netherlands,NLD
31,Azerbaijan,AZE
788,Tunisia,TUN
352,Iceland,ISL
20,Andorra,AND
458,Malaysia,MYS
32,Argentina,ARG
729,Sudan,SDN
654,Saint Helena,SHN
132,Cabo Verde,CPV
208,Denmark,DNK
860,Uzbekistan,UZB
196,Cyprus,CYP
28,Antigua and Barbuda,ATG
756,Switzerland,CHE
776,Tonga,TON
760,Syrian Arab Republic,SYR
222,El Salvador,SLV
218,Ecuador,ECU
226,Equatorial Guinea,GNQ
428,Latvia,LVA
392,Japan,JPN
690,Seychelles,SYC
646,Rwanda,RWA
524,Nepal,NPL
624,Guinea-Bissau,GNB
178,Congo,COG
48,Bahrain,BHR
430,Liberia,LBR
454,Malawi,MWI
520,Nauru,NRU
8,Albania,ALB
140,Central African Republic,CAF
703,Slovakia,SVK
450,Madagascar,MDG
124,Canada,CAN
442,Luxembourg,LUX
548,Vanuatu,VUT
682,Saudi Arabia,SAU
170,Colombia,COL
203,Czechia,CZE
762,Tajikistan,TJK
780,Trinidad and Tobago,TTO
308,Grenada,GRD
364,Iran,IRN
184,Cook Islands,COK
438,Liechtenstein,LIE
156,China,CHN
418,Lao People's Democratic Republic,LAO
804,Ukraine,UKR
764,Thailand,THA
214,Dominican Republic,DOM
270,Gambia,GMB
60,Bermuda,BMU
728,South Sudan,SSD
328,Guyana,GUY
266,Gabon,GAB
795,Turkmenistan,TKM
834,United Republic of Tanzania,TZA
404,Kenya,KEN
492,Monaco,MCO
320,Guatemala,GTM
356,India,IND
204,Benin,BEN
659,Saint Kitts and Nevis,KNA
792,Türkiye,TUR
275,State of Palestine,PSE
336,Holy See,VAT
152,Chile,CHL
148,Chad,TCD
586,Pakistan,PAK
384,Côte d'Ivoire,CIV
876,Wallis and Futuna Islands,WLF
212,Dominica,DMA
414,Kuwait,KWT
840,United States of America,USA
233,Estonia,EST
688,Serbia,SRB
484,Mexico,MEX
174,Comoros,COM
68,Bolivia,BOL
44,Bahamas,BHS
600,Paraguay,PRY
262,Djibouti,DJI
800,Uganda,UGA
512,Oman,OMN
554,New Zealand,NZL
324,Guinea,GIN
120,Cameroon,CMR
76,Brazil,BRA
84,Belize,BLZ
368,Iraq,IRQ
462,Maldives,MDV
634,Qatar,QAT
686,Senegal,SEN
408,Democratic People's Republic of Korea,PRK
496,Mongolia,MNG
300,Greece,GRC
104,Myanmar,MMR
268,Georgia,GEO
96,Brunei Darussalam,BRN
56,Belgium,BEL
191,Croatia,HRV
340,Honduras,HND
862,Venezuela,VEN
584,Marshall Islands,MHL
288,Ghana,GHA
583,Micronesia,FSM
498,Republic of Moldova,MDA
276,Germany,DEU
818,Egypt,EGY
296,Kiribati,KIR
4,Afghanistan,AFG
232,Eritrea,ERI
882,Samoa,WSM
372,Ireland,IRL
360,Indonesia,IDN
116,Cambodia,KHM
144,Sri Lanka,LKA
643,Russian Federation,RUS
616,Poland,POL
36,Australia,AUS
108,Burundi,BDI
112,Belarus,BLR
478,Mauritania,MRT
854,Burkina Faso,BFA
702,Singapore,SGP
242,Fiji,FJI
417,Kyrgyzstan,KGZ
566,Nigeria,NGA
72,Botswana,BWA
608,Philippines,PHL
470,Malta,MLT
